,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,c_Cloud_3vs9,c_Humidity_3vs9,Location_Humidity3pm,c_Location_Humidity3pm,c_Location_RainToday_Yes,PROB
0,5.2,11.4,11.4,0.0,0.0,NW,26.0,WSW,W,9.0,7.0,96.0,76.0,1019.0,1021.4,8.0,8.0,7.3,11.1,Yes,1.0,0.79,54.26086956521739,1.4,0.266,0.3674698795180723
1,7.2,12.5,0.4,0.0,0.0,WSW,17.0,0,W,0.0,11.0,88.0,86.0,1027.7,1026.4,8.0,8.0,9.3,11.6,No,1.0,0.98,54.26086956521739,1.58,0.266,0.8900523560209425
2,7.9,12.7,0.2,0.0,0.0,W,20.0,ENE,W,6.0,13.0,100.0,82.0,1027.5,1024.7,8.0,7.0,9.7,12.6,No,0.88,0.82,54.26086956521739,1.51,0.266,0.334841628959276
3,8.2,11.7,0.2,0.0,0.0,E,19.0,0,ENE,0.0,13.0,97.0,70.0,1021.1,1016.0,8.0,8.0,9.0,11.6,No,1.0,0.72,54.26086956521739,1.29,0.266,0.22767857142857142
4,6.7,10.6,1.0,0.0,0.0,WNW,19.0,0,SSE,0.0,7.0,92.0,99.0,1011.2,1008.6,8.0,8.0,7.8,8.9,No,1.0,1.08,54.26086956521739,1.82,0.266,0.8900523560209425
7,6.5,11.8,0.2,0.0,0.0,S,17.0,S,E,2.0,2.0,96.0,94.0,1022.7,1020.8,8.0,8.0,9.2,11.5,No,1.0,0.98,54.26086956521739,1.73,0.266,0.6296296296296297
10,9.1,16.2,16.6,0.0,0.0,N,44.0,N,N,22.0,19.0,82.0,52.0,1009.3,1007.9,8.0,1.0,12.8,15.7,Yes,0.12,0.63,54.26086956521739,0.96,0.266,0.22748815165876776
11,8.6,12.9,0.4,0.0,0.0,NW,69.0,N,NW,19.0,37.0,79.0,61.0,1007.3,1004.2,8.0,0.0,9.3,12.0,No,0.0,0.77,54.26086956521739,1.12,0.266,0.6691176470588235
12,3.6,9.5,9.6,0.0,0.0,WNW,54.0,WNW,WNW,24.0,19.0,87.0,66.0,1019.3,1023.1,8.0,8.0,4.3,8.9,Yes,1.0,0.76,54.26086956521739,1.22,0.266,0.6853146853146853
17,2.1,13.4,0.0,0.0,0.0,E,13.0,0,SE,0.0,2.0,100.0,96.0,1026.2,1022.6,0.0,8.0,7.3,11.8,No,0.0,0.96,54.26086956521739,1.77,0.266,0.39520958083832336
18,7.3,15.2,5.0,0.0,0.0,NNW,17.0,S,NE,7.0,7.0,100.0,88.0,1023.3,1021.8,8.0,8.0,10.9,14.0,Yes,1.0,0.88,54.26086956521739,1.62,0.266,0.7237569060773481
