id,paga_comision
Utxs29/Xs0bbj3SuNc23cQ==,paga
gYKVX4fyx7XyBtarir4cEg==,paga
Yq173dwehCQGxOEviTOhug==,paga
RWjSFixkfK58tGdOkHzQKw==,paga
i3s0RnXV9kMdw50AD4V8gQ==,paga
D3dywaLgRHVPVqSoOC9zaw==,paga
7AFuwDExYIkJqlR6zF4YTg==,paga
BGK6nvl1VxIACW7NZkrYYg==,paga
Kgh4FuqMAI/2SmhXSxjdDQ==,paga
qHxbI9VChzMTELTPwtPoCg==,paga
TbBLrN59oVLqcy7T6rRvrQ==,paga
rU9TD9rzAgSL+++uluENHQ==,paga
K7oa2kyRYoZinZPKHB4rsg==,paga
hCZqHEpVXyQGgSe+EtKvSg==,paga
zuN2Y3CIADFj00yboWKOjg==,paga
Gt8MjRtdMJHfFzx5WWjFjA==,paga
WfaW1m8IHmHL1y23tt45kQ==,paga
Qi9L27A6CmB9dcymxEgcxA==,paga
uksjCgaPNz1wkuMRNZ9upw==,paga
RnG8mXV3rtme9BvgYMeyOw==,paga
wlMz7Y9KdHqdXyaBZ3uT3w==,paga
Uy0r2Lpv4x8mE5s/HeJb6Q==,paga
Q8ywvA0cwXBT9AAlY5NVFg==,paga
/Vg+pEhyZzn3nQ0tm07TFQ==,paga
HbvlErwh5Wyu8i2Eyyi/8Q==,paga
CA9ILEmISbDfAGrz2Iyw4w==,paga
dSdnlB1CoBVV95yPwfqIEQ==,paga
a4rZS3cJ0jU+Ny/qOqC2jQ==,paga
k+3cSVscDDOE1K5OQhPFiw==,paga
B6wVj9WdzZMrcEQ9KHZGjA==,paga
kIWzV5d1jb3GmD3SNWYVVg==,paga
dE/Hk7NCmK3HhOaBu/kRYQ==,paga
JH4rPwu9BT1JrxZZ6UQEaQ==,paga
g9MmJ0vs6Jrb4A6xvY3tuQ==,paga
gZ/oYxahhijsEchB/WQgNw==,paga
W/kJpyy3/wXA9yktu1Zp0Q==,paga
2kn5z4ZT0hG0s1IEY+jmyg==,paga
RiszJEeZRbXDYa4O9P0GYg==,paga
/Scsqr2blMoeJkVQb8s9Tw==,paga
xcc2HQZE+bA0tKlnDjmAhg==,paga
twE9NNhA8WtfJ9mKUXiWVQ==,paga
b4513h0usNBRJ6j2kyHl2g==,paga
/m7Ee4B3hrWbQw3oSraY9Q==,paga
KTEj2G4VUvrfBX32ITSGRg==,paga
NuFBU95rLql6+qHpqkzr8A==,paga
kWBikrGBngNTMQEqZvUZ8A==,paga
/d43FA5xeIIG1fIWky10yQ==,paga
07aB5t/bc+qu5kIQagu0ZA==,paga
t1p2hPD1nX18mofEXq3JQQ==,paga
G1OOPdMnplCSwIli9FhGFA==,paga
nT1mFhhHiSSwp+q+7GvB8Q==,paga
+j1GHJ2CFutBwPP9F58rSg==,paga
deM5XACQmnBEGaQ3MImtTQ==,paga
nVCYmUUGX4H59CWP12081g==,paga
1SDmJ2E0v/GFi89dRdTDKg==,paga
9vqRDHwsufuWL70IAwk1qQ==,paga
pejTUn3jofyN/VBwcqo8kg==,paga
4N4SVDShtfWdKsvhFdXP2w==,paga
noPFlOrGfUI4P8zdzf7A6g==,paga
pkeYF9oxlN1388EC24CDew==,paga
WE0hmnf4m9T2cxPpHzPWTg==,paga
dHRbQLtG2jZnf5r0Z32yrA==,paga
tEgCPq3/Vr9ADgxqEKWgug==,paga
QuvS43P7T/9emg64Xop2jQ==,paga
cvb4B9489m10RFrlje9JKA==,paga
OaKehBKyGtnjYX8rp4aYEw==,paga
4mWw1VFygeB8isQ6BWqjsQ==,paga
6FRdMGw8milb+Ql69xm+ng==,paga
ZATj6oHgECai6AGPHaKlbQ==,paga
8uCkcDhi4mE3O2lD9i9KCw==,paga
HIGFayctRvg6E12wDYgDCQ==,paga
gC+zoZZdmQmqEzsN8LjNWA==,paga
6eLpQ6giCzjS97J9NOKwFQ==,paga
/N1/ekmHK9i4yRlFVXdaig==,paga
Urd/612wJo1GmyiYvJWUww==,paga
fQP5twdiNguRbD8MKof01g==,paga
cD6fhpEDKNErv+kBvWuxTg==,paga
c84kzUMNDpCEzGec9CK23g==,paga
5dqy5D4zhVl/WYONI/LL1Q==,paga
9nFsmQWmGj6590vv0WY0zw==,paga
7udyba2RcEv9zmBVHbOoZQ==,paga
mQV6htE058HSb3t2d2WcGA==,paga
HhVyubRRdoDnkx7WeykYIw==,paga
ot71vKH1RO7MX+HSJ9Tuag==,paga
G58oPVcjSzZDuiufO/lDDw==,paga
PjHllLZzCvF8RV2D/yeDDQ==,paga
bqo2Vv2y3w/ay9AWxW+tcQ==,paga
zAhdHmVu8iUyzl84hWyWPg==,paga
GIEThf+em2lKByX8Yalb6A==,paga
lP3iVSgR3pDvT9MAGvKokQ==,paga
W/Qvx2GLkW+UGOfrDrT1Zw==,paga
aAWHpidgjKIn07E8sWsA4w==,paga
P0vl1Usk3RUpLW/0UCHNmw==,paga
H6OoWnWbw2w0DGURrrJKuQ==,paga
vxn6UM40JQa4tQySARAbGg==,paga
1RrG5DBX5KOjrymnztdSHg==,paga
6lgx/3I5zH/s35yrDj+O4w==,paga
MdxShssupjMai7U45/SJ2A==,paga
34DWsGh9wnIUs3EuqGFufQ==,paga
